Player,Roster Position,%Drafted,FPTS
Jalen Green,PG,60.00%,19.0
Jeremy Sochan,PF,60.00%,28.0
Tyrese Maxey,PG,60.00%,32.25
Hamidou Diallo,SG,60.00%,26.75
Devonte' Graham,SG,60.00%,39.0
Tari Eason,SF,60.00%,38.25
De'Aaron Fox,PG,40.00%,38.5
Zach Collins,C,40.00%,39.0
Joel Embiid,C,20.00%,56.0
James Harden,UTIL,20.00%,69.25
Anthony Edwards,F,20.00%,43.0
Donovan Mitchell,UTIL,20.00%,36.25
Jimmy Butler,SF,20.00%,44.25
Dejounte Murray,SG,20.00%,23.75
Alperen Sengun,C,20.00%,36.5
Kevin Porter Jr.,PG,20.00%,28.0
Rudy Gobert,C,20.00%,35.5
Bobby Portis,UTIL,20.00%,13.75
Khris Middleton,F,20.00%,14.25
Jaden Ivey,UTIL,20.00%,16.0
Kyle Anderson,F,20.00%,47.25
Jabari Smith Jr.,PF,20.00%,17.0
Tobias Harris,F,20.00%,6.0
Harrison Barnes,SF,20.00%,27.0
Bogdan Bogdanovic,SF,20.00%,18.0
Keegan Murray,UTIL,20.00%,6.25
