Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,79.49%,32.25
Keegan Murray,SF,69.23%,6.25
Harrison Barnes,SF,66.67%,27.0
Joel Embiid,C,61.54%,56.0
De'Anthony Melton,SG,61.54%,9.0
Kyle Anderson,SF,53.85%,47.25
Jaden McDaniels,SF,51.28%,31.5
James Harden,PG,48.72%,69.25
De'Aaron Fox,PG,30.77%,38.5
Domantas Sabonis,C,28.21%,51.0
Tobias Harris,SF,25.64%,6.0
Kevin Huerter,SG,25.64%,39.0
Mike Conley,PG,20.51%,34.25
Trey Lyles,PF,20.51%,30.0
Naz Reid,PF,17.95%,17.5
Giannis Antetokounmpo,PF,15.38%,58.25
Rudy Gobert,C,15.38%,35.5
Grayson Allen,SG,15.38%,31.25
Anthony Edwards,SG,15.38%,43.0
Taurean Prince,SF,12.82%,10.0
Khris Middleton,SF,10.26%,14.25
Malik Monk,G,10.26%,16.75
Brook Lopez,C,7.69%,42.5
P.J. Tucker,PF,5.13%,8.0
Joe Ingles,PG,5.13%,12.25
Pat Connaughton,SG,5.13%,3.5
Jrue Holiday,UTIL,2.56%,54.0
Jae Crowder,F,2.56%,4.75
Bobby Portis,PF,2.56%,13.75
Jevon Carter,PG,2.56%,11.25
Jordan McLaughlin,G,2.56%,8.25
Shake Milton,PG,2.56%,4.75
Jalen McDaniels,UTIL,2.56%,11.0
Davion Mitchell,SG,2.56%,3.5
