Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,58.62%,58.25
De'Aaron Fox,T3,51.72%,38.5
Jalen Green,T5,44.83%,19.0
Joel Embiid,T1,37.93%,56.0
Domantas Sabonis,T2,37.93%,51.0
Dejounte Murray,T4,34.48%,23.75
Jeremy Sochan,T6,31.03%,28.0
Anthony Edwards,T2,27.59%,43.0
Kevin Porter Jr.,T4,27.59%,28.0
Jarrett Allen,T5,27.59%,24.75
Clint Capela,T6,20.69%,37.75
Mike Conley,T6,20.69%,34.25
Trae Young,T2,17.24%,35.5
Donovan Mitchell,T2,17.24%,36.25
Darius Garland,T3,17.24%,40.75
Evan Mobley,T4,17.24%,48.75
Bam Adebayo,T3,13.79%,57.75
Zach Collins,T5,13.79%,39.0
Kyle Anderson,T6,13.79%,47.25
Jimmy Butler,T3,10.34%,44.25
Alperen Sengun,T4,10.34%,36.5
Tyler Herro,T4,10.34%,34.5
Jaden Ivey,T6,10.34%,16.0
Jrue Holiday,T3,6.90%,54.0
Bobby Portis,T5,6.90%,13.75
James Harden,T1,3.45%,69.25
Brook Lopez,T5,3.45%,42.5
Khris Middleton,T5,3.45%,14.25
KJ Martin,T6,3.45%,34.75
