Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,86.21%,51.0
De'Aaron Fox,UTIL,79.31%,38.5
Taurean Prince,UTIL,62.07%,10.0
Anthony Edwards,UTIL,55.17%,43.0
Kyle Anderson,UTIL,48.28%,47.25
Keegan Murray,UTIL,48.28%,6.25
Harrison Barnes,UTIL,34.48%,27.0
Jaden McDaniels,UTIL,34.48%,31.5
Rudy Gobert,UTIL,31.03%,35.5
Naz Reid,UTIL,31.03%,17.5
Trey Lyles,UTIL,27.59%,30.0
Mike Conley,UTIL,17.24%,34.25
Jordan McLaughlin,UTIL,17.24%,8.25
Terence Davis,UTIL,6.90%,5.25
Davion Mitchell,UTIL,6.90%,3.5
Malik Monk,UTIL,3.45%,16.75
Kevin Huerter,UTIL,3.45%,39.0
Nickeil Alexander-Walker,UTIL,3.45%,33.25
Chimezie Metu,UTIL,3.45%,8.5
