Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,69.57%,39.0
Jeremy Sochan,PF,65.22%,28.0
Jalen Green,SG,56.52%,19.0
Tari Eason,SF,56.52%,38.25
Marvin Bagley III,PF,47.83%,48.25
Hamidou Diallo,SF,39.13%,26.75
Joel Embiid,C,34.78%,56.0
De'Aaron Fox,PG,34.78%,38.5
Zach Collins,C,34.78%,39.0
Anthony Edwards,SF,30.43%,43.0
Tre Jones,PG,30.43%,19.75
Giannis Antetokounmpo,C,26.09%,58.25
Tyrese Maxey,SG,21.74%,32.25
Keegan Murray,PF,21.74%,6.25
Jarrett Allen,C,17.39%,24.75
Blake Wesley,PG,17.39%,6.5
James Harden,G,13.04%,69.25
Evan Mobley,PF,13.04%,48.75
Tyler Herro,PG,13.04%,34.5
Keita Bates-Diop,SF,13.04%,30.25
Caris LeVert,SG,13.04%,20.5
Donovan Mitchell,PG,8.70%,36.25
Bam Adebayo,C,8.70%,57.75
Dejounte Murray,PG,8.70%,23.75
Alperen Sengun,C,8.70%,36.5
Rudy Gobert,C,8.70%,35.5
KJ Martin,SF,8.70%,34.75
Jaden Ivey,PG,8.70%,16.0
Kyle Anderson,SF,8.70%,47.25
Harrison Barnes,SF,8.70%,27.0
Romeo Langford,SG,8.70%,7.25
Trae Young,PG,4.35%,35.5
Jabari Smith Jr.,F,4.35%,17.0
Malik Monk,G,4.35%,16.75
Kevin Huerter,G,4.35%,39.0
James Wiseman,UTIL,4.35%,19.75
Bogdan Bogdanovic,UTIL,4.35%,18.0
De'Andre Hunter,PF,4.35%,25.75
Naz Reid,F,4.35%,17.5
Gabe Vincent,G,4.35%,16.5
De'Anthony Melton,SG,4.35%,9.0
