Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,95.65%,51.0
Keegan Murray,UTIL,78.26%,6.25
Taurean Prince,UTIL,78.26%,10.0
Anthony Edwards,UTIL,65.22%,43.0
Kyle Anderson,UTIL,60.87%,47.25
Harrison Barnes,UTIL,52.17%,27.0
De'Aaron Fox,UTIL,47.83%,38.5
Rudy Gobert,UTIL,17.39%,35.5
Jaden McDaniels,UTIL,17.39%,31.5
Trey Lyles,UTIL,17.39%,30.0
Jordan McLaughlin,UTIL,17.39%,8.25
Mike Conley,UTIL,8.70%,34.25
Kevin Huerter,UTIL,4.35%,39.0
Naz Reid,UTIL,4.35%,17.5
Davion Mitchell,UTIL,4.35%,3.5
Nickeil Alexander-Walker,UTIL,4.35%,33.25
