Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,76.92%,39.0
Jeremy Sochan,PF,61.54%,28.0
Hamidou Diallo,SG,61.54%,26.75
Anthony Edwards,G,53.85%,43.0
Jalen Green,PG,53.85%,19.0
Tari Eason,SF,46.15%,38.25
Joel Embiid,C,38.46%,56.0
De'Aaron Fox,PG,38.46%,38.5
Tre Jones,PG,38.46%,19.75
Marvin Bagley III,PF,30.77%,48.25
Bam Adebayo,C,23.08%,57.75
Zach Collins,C,23.08%,39.0
Jaden Ivey,PG,23.08%,16.0
Keegan Murray,SF,23.08%,6.25
James Harden,G,15.38%,69.25
Evan Mobley,PF,15.38%,48.75
Tyrese Maxey,SG,15.38%,32.25
Harrison Barnes,SF,15.38%,27.0
De'Andre Hunter,PF,15.38%,25.75
Charles Bassey,C,15.38%,28.5
Giannis Antetokounmpo,PF,7.69%,58.25
Domantas Sabonis,UTIL,7.69%,51.0
Darius Garland,PG,7.69%,40.75
Alperen Sengun,UTIL,7.69%,36.5
Tyler Herro,PG,7.69%,34.5
Jarrett Allen,C,7.69%,24.75
KJ Martin,PF,7.69%,34.75
Kyle Anderson,SF,7.69%,47.25
Killian Hayes,PG,7.69%,16.5
Keita Bates-Diop,PF,7.69%,30.25
Malik Monk,SG,7.69%,16.75
James Wiseman,C,7.69%,19.75
Saddiq Bey,PF,7.69%,33.75
Caris LeVert,SG,7.69%,20.5
Trey Lyles,UTIL,7.69%,30.0
