Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,89.74%,51.0
Taurean Prince,UTIL,79.49%,10.0
Anthony Edwards,UTIL,76.92%,43.0
Keegan Murray,UTIL,69.23%,6.25
Harrison Barnes,UTIL,66.67%,27.0
Kyle Anderson,UTIL,61.54%,47.25
De'Aaron Fox,UTIL,46.15%,38.5
Rudy Gobert,UTIL,28.21%,35.5
Jaden McDaniels,UTIL,12.82%,31.5
Naz Reid,UTIL,12.82%,17.5
Trey Lyles,UTIL,12.82%,30.0
Nickeil Alexander-Walker,UTIL,10.26%,33.25
Jordan McLaughlin,UTIL,10.26%,8.25
Mike Conley,UTIL,5.13%,34.25
Malik Monk,UTIL,5.13%,16.75
Kevin Huerter,UTIL,5.13%,39.0
Davion Mitchell,UTIL,2.56%,3.5
Luka Garza,UTIL,2.56%,0.0
Austin Rivers,UTIL,2.56%,0.0
