Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,100.00%,39.0
Jeremy Sochan,PF,86.36%,28.0
Tari Eason,SF,86.36%,38.25
Joel Embiid,C,81.82%,56.0
Jalen Green,PG,81.82%,19.0
Tre Jones,PG,77.27%,19.75
Marvin Bagley III,PF,63.64%,48.25
Bam Adebayo,C,50.00%,57.75
Hamidou Diallo,SF,22.73%,26.75
James Harden,PG,18.18%,69.25
Tyrese Maxey,G,18.18%,32.25
Anthony Edwards,SF,13.64%,43.0
Jarrett Allen,C,13.64%,24.75
Evan Mobley,C,9.09%,48.75
Alperen Sengun,C,9.09%,36.5
Kyle Anderson,SF,9.09%,47.25
Harrison Barnes,SF,9.09%,27.0
Giannis Antetokounmpo,UTIL,4.55%,58.25
Jimmy Butler,UTIL,4.55%,44.25
Darius Garland,G,4.55%,40.75
Zach Collins,C,4.55%,39.0
KJ Martin,SF,4.55%,34.75
Jaden Ivey,SG,4.55%,16.0
Tobias Harris,PF,4.55%,6.0
Kevin Love,F,4.55%,16.25
Keegan Murray,UTIL,4.55%,6.25
John Collins,UTIL,4.55%,3.75
De'Anthony Melton,F,4.55%,9.0
