Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Devonte' Graham,PG,100.00%,39.0
Joel Embiid,UTIL,90.00%,56.0
Jalen Green,PG,90.00%,19.0
Tari Eason,SF,80.00%,38.25
Marvin Bagley III,PF,70.00%,48.25
Tre Jones,PG,70.00%,19.75
Bam Adebayo,C,50.00%,57.75
Tyrese Maxey,SG,40.00%,32.25
Evan Mobley,PF,20.00%,48.75
Alperen Sengun,C,20.00%,36.5
Kyle Anderson,SF,20.00%,47.25
James Harden,UTIL,10.00%,69.25
Jarrett Allen,C,10.00%,24.75
Zach Collins,C,10.00%,39.0
KJ Martin,SF,10.00%,34.75
Keita Bates-Diop,F,10.00%,30.25
