Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,93.10%,51.0
Taurean Prince,UTIL,82.76%,10.0
Anthony Edwards,UTIL,68.97%,43.0
Keegan Murray,UTIL,68.97%,6.25
Harrison Barnes,UTIL,62.07%,27.0
Kyle Anderson,UTIL,58.62%,47.25
De'Aaron Fox,UTIL,55.17%,38.5
Rudy Gobert,UTIL,34.48%,35.5
Jordan McLaughlin,UTIL,20.69%,8.25
Jaden McDaniels,UTIL,17.24%,31.5
Naz Reid,UTIL,17.24%,17.5
Mike Conley,UTIL,3.45%,34.25
Kevin Huerter,UTIL,3.45%,39.0
Terence Davis,UTIL,3.45%,5.25
Trey Lyles,UTIL,3.45%,30.0
Nickeil Alexander-Walker,UTIL,3.45%,33.25
Malik Monk,CPT,3.45%,25.12
