Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,88.57%,28.0
Devonte' Graham,PG,77.14%,39.0
Bam Adebayo,C,65.71%,57.75
Jalen Green,PG,65.71%,19.0
Jimmy Butler,SF,51.43%,44.25
Zach Collins,C,48.57%,39.0
Tari Eason,SF,48.57%,38.25
Tre Jones,PG,42.86%,19.75
Trae Young,PG,40.00%,35.5
Dejounte Murray,PG,37.14%,23.75
Tyler Herro,PG,31.43%,34.5
KJ Martin,SF,28.57%,34.75
Jabari Smith Jr.,PF,28.57%,17.0
Keita Bates-Diop,SF,25.71%,30.25
Alperen Sengun,C,20.00%,36.5
Clint Capela,C,17.14%,37.75
De'Andre Hunter,SF,17.14%,25.75
Bogdan Bogdanovic,SG,14.29%,18.0
Kevin Porter Jr.,PG,14.29%,28.0
Kevin Love,C,11.43%,16.25
Saddiq Bey,SF,8.57%,33.75
Blake Wesley,SG,5.71%,6.5
Victor Oladipo,G,2.86%,12.5
Caleb Martin,SF,2.86%,24.25
John Collins,PF,2.86%,3.75
Max Strus,UTIL,2.86%,12.25
