Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,87.50%,58.25
De'Aaron Fox,T3,75.00%,38.5
Domantas Sabonis,T2,62.50%,51.0
Evan Mobley,T4,50.00%,48.75
Jalen Green,T5,50.00%,19.0
Jeremy Sochan,T6,50.00%,28.0
Dejounte Murray,T4,37.50%,23.75
Jarrett Allen,T5,37.50%,24.75
Trae Young,T2,25.00%,35.5
Joel Embiid,T1,12.50%,56.0
Donovan Mitchell,T2,12.50%,36.25
Jimmy Butler,T3,12.50%,44.25
Bam Adebayo,T3,12.50%,57.75
Alperen Sengun,T4,12.50%,36.5
Zach Collins,T5,12.50%,39.0
Clint Capela,T6,12.50%,37.75
Mike Conley,T6,12.50%,34.25
Kyle Anderson,T6,12.50%,47.25
Jabari Smith Jr.,T6,12.50%,17.0
