Player,Roster Position,%Drafted,FPTS
Tari Eason,SF,62.07%,38.25
Devonte' Graham,PG,58.62%,39.0
Jeremy Sochan,PF,55.17%,28.0
Joel Embiid,C,44.83%,56.0
Jalen Green,PG,41.38%,19.0
James Harden,G,34.48%,69.25
Keegan Murray,SF,34.48%,6.25
Jarrett Allen,C,31.03%,24.75
Hamidou Diallo,SG,27.59%,26.75
De'Aaron Fox,PG,24.14%,38.5
Marvin Bagley III,PF,24.14%,48.25
Zach Collins,C,20.69%,39.0
Anthony Edwards,SG,17.24%,43.0
Tyler Herro,SG,17.24%,34.5
Tyrese Maxey,PG,17.24%,32.25
James Wiseman,C,17.24%,19.75
Harrison Barnes,SF,17.24%,27.0
Charles Bassey,C,17.24%,28.5
Caris LeVert,SG,17.24%,20.5
Darius Garland,PG,13.79%,40.75
Jaden Ivey,PG,13.79%,16.0
Tre Jones,PG,13.79%,19.75
Kevin Huerter,SF,13.79%,39.0
Donovan Mitchell,PG,10.34%,36.25
Jimmy Butler,SF,10.34%,44.25
Khris Middleton,SF,10.34%,14.25
KJ Martin,F,10.34%,34.75
Killian Hayes,PG,10.34%,16.5
Naz Reid,PF,10.34%,17.5
De'Anthony Melton,SG,10.34%,9.0
Giannis Antetokounmpo,PF,6.90%,58.25
Domantas Sabonis,C,6.90%,51.0
Dejounte Murray,SG,6.90%,23.75
Evan Mobley,PF,6.90%,48.75
Brook Lopez,C,6.90%,42.5
Blake Wesley,SG,6.90%,6.5
Bam Adebayo,UTIL,3.45%,57.75
Alperen Sengun,C,3.45%,36.5
Kevin Porter Jr.,PG,3.45%,28.0
Rudy Gobert,C,3.45%,35.5
Mike Conley,UTIL,3.45%,34.25
Kyle Anderson,F,3.45%,47.25
Jabari Smith Jr.,F,3.45%,17.0
Tobias Harris,F,3.45%,6.0
Keita Bates-Diop,SF,3.45%,30.25
Jaden McDaniels,PF,3.45%,31.5
Bogdan Bogdanovic,SF,3.45%,18.0
John Collins,PF,3.45%,3.75
Victor Oladipo,PG,3.45%,12.5
Isaiah Livers,SF,3.45%,17.5
Dominick Barlow,F,3.45%,6.5
