Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,T3,90.91%,38.5
Giannis Antetokounmpo,T1,72.73%,58.25
Jarrett Allen,T5,72.73%,24.75
Jeremy Sochan,T6,72.73%,28.0
Domantas Sabonis,T2,63.64%,51.0
Evan Mobley,T4,36.36%,48.75
Dejounte Murray,T4,27.27%,23.75
Joel Embiid,T1,18.18%,56.0
Anthony Edwards,T2,18.18%,43.0
Tyler Herro,T4,18.18%,34.5
James Harden,T1,9.09%,69.25
Trae Young,T2,9.09%,35.5
Donovan Mitchell,T2,9.09%,36.25
Bam Adebayo,T3,9.09%,57.75
Alperen Sengun,T4,9.09%,36.5
Kevin Porter Jr.,T4,9.09%,28.0
Brook Lopez,T5,9.09%,42.5
Zach Collins,T5,9.09%,39.0
Jalen Green,T5,9.09%,19.0
Clint Capela,T6,9.09%,37.75
Mike Conley,T6,9.09%,34.25
Kyle Anderson,T6,9.09%,47.25
