Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
Jaden McDaniels,SF,90.91%,31.5
James Harden,PG,81.82%,69.25
Harrison Barnes,SF,81.82%,27.0
Joel Embiid,C,81.82%,56.0
De'Anthony Melton,SG,81.82%,9.0
Keegan Murray,SF,81.82%,6.25
Kyle Anderson,SF,72.73%,47.25
Tobias Harris,PF,27.27%,6.0
Kevin Huerter,G,18.18%,39.0
Naz Reid,C,18.18%,17.5
Joe Ingles,PG,9.09%,12.25
Taurean Prince,UTIL,9.09%,10.0
Giannis Antetokounmpo,C,9.09%,58.25
Rudy Gobert,UTIL,9.09%,35.5
Domantas Sabonis,UTIL,9.09%,51.0
De'Aaron Fox,PG,9.09%,38.5
Anthony Edwards,SG,9.09%,43.0
