Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,90.00%,32.25
Keegan Murray,SF,90.00%,6.25
Joel Embiid,C,85.00%,56.0
Harrison Barnes,SF,80.00%,27.0
James Harden,PG,75.00%,69.25
Jaden McDaniels,SF,75.00%,31.5
De'Anthony Melton,SG,65.00%,9.0
Kyle Anderson,SF,60.00%,47.25
De'Aaron Fox,PG,25.00%,38.5
Tobias Harris,SF,20.00%,6.0
Kevin Huerter,SF,20.00%,39.0
Mike Conley,PG,15.00%,34.25
Taurean Prince,PF,15.00%,10.0
Malik Monk,SG,15.00%,16.75
Naz Reid,PF,15.00%,17.5
Domantas Sabonis,C,10.00%,51.0
Anthony Edwards,SG,10.00%,43.0
Brook Lopez,C,5.00%,42.5
Jae Crowder,SF,5.00%,4.75
Georges Niang,UTIL,5.00%,21.75
Giannis Antetokounmpo,PF,5.00%,58.25
Jordan McLaughlin,G,5.00%,8.25
Trey Lyles,C,5.00%,30.0
Jalen McDaniels,F,5.00%,11.0
