Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,90.91%,51.0
Anthony Edwards,UTIL,72.73%,43.0
Kyle Anderson,UTIL,72.73%,47.25
Keegan Murray,UTIL,72.73%,6.25
Harrison Barnes,UTIL,63.64%,27.0
Taurean Prince,UTIL,63.64%,10.0
De'Aaron Fox,UTIL,27.27%,38.5
Jaden McDaniels,UTIL,27.27%,31.5
Nickeil Alexander-Walker,UTIL,27.27%,33.25
Rudy Gobert,UTIL,18.18%,35.5
Mike Conley,UTIL,18.18%,34.25
Malik Monk,UTIL,9.09%,16.75
Kevin Huerter,UTIL,9.09%,39.0
Naz Reid,UTIL,9.09%,17.5
Terence Davis,UTIL,9.09%,5.25
Davion Mitchell,UTIL,9.09%,3.5
