Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,81.82%,13.5
De'Aaron Fox,UTIL,63.64%,12.5
Kyle Anderson,UTIL,59.09%,8.5
Harrison Barnes,UTIL,54.55%,4.5
Taurean Prince,UTIL,50.00%,0.0
Anthony Edwards,UTIL,40.91%,7.75
Rudy Gobert,UTIL,36.36%,14.25
Jaden McDaniels,UTIL,36.36%,8.25
Mike Conley,UTIL,27.27%,12.5
Kevin Huerter,UTIL,27.27%,5.5
Trey Lyles,UTIL,27.27%,4.75
Naz Reid,UTIL,22.73%,0.0
Jordan McLaughlin,UTIL,18.18%,0.0
Malik Monk,UTIL,13.64%,2.0
Nickeil Alexander-Walker,UTIL,13.64%,9.0
Chimezie Metu,UTIL,13.64%,0.0
Keegan Murray,UTIL,9.09%,0.0
Terence Davis,UTIL,4.55%,0.0
