Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,86.96%,13.5
De'Aaron Fox,UTIL,73.91%,12.5
Kyle Anderson,UTIL,52.17%,8.5
Harrison Barnes,UTIL,43.48%,4.5
Jaden McDaniels,UTIL,43.48%,8.25
Taurean Prince,UTIL,43.48%,0.0
Anthony Edwards,UTIL,39.13%,7.75
Mike Conley,UTIL,30.43%,12.5
Kevin Huerter,UTIL,30.43%,5.5
Trey Lyles,UTIL,30.43%,4.75
Malik Monk,UTIL,26.09%,2.0
Jordan McLaughlin,UTIL,26.09%,0.0
Rudy Gobert,UTIL,21.74%,14.25
Naz Reid,UTIL,21.74%,0.0
Nickeil Alexander-Walker,UTIL,13.04%,9.0
Chimezie Metu,UTIL,8.70%,0.0
Keegan Murray,UTIL,4.35%,0.0
Luka Garza,UTIL,4.35%,0.0
