Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,90.91%,51.0
Taurean Prince,UTIL,81.82%,10.0
Kyle Anderson,UTIL,77.27%,47.25
Harrison Barnes,UTIL,77.27%,27.0
Keegan Murray,UTIL,77.27%,6.25
Anthony Edwards,UTIL,72.73%,43.0
De'Aaron Fox,UTIL,31.82%,38.5
Rudy Gobert,UTIL,31.82%,35.5
Jaden McDaniels,UTIL,18.18%,31.5
Mike Conley,UTIL,9.09%,34.25
Naz Reid,UTIL,9.09%,17.5
Jordan McLaughlin,UTIL,9.09%,8.25
Malik Monk,UTIL,4.55%,16.75
Trey Lyles,UTIL,4.55%,30.0
Nickeil Alexander-Walker,UTIL,4.55%,33.25
