Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,95.65%,28.0
Devonte' Graham,PG,95.65%,39.0
Joel Embiid,C,82.61%,56.0
Tari Eason,SF,78.26%,38.25
Jalen Green,PG,73.91%,19.0
Marvin Bagley III,PF,47.83%,48.25
Hamidou Diallo,SG,43.48%,26.75
Tyrese Maxey,SG,34.78%,32.25
Tre Jones,PG,34.78%,19.75
James Harden,PG,26.09%,69.25
Evan Mobley,PF,26.09%,48.75
Bam Adebayo,C,21.74%,57.75
Zach Collins,C,21.74%,39.0
Anthony Edwards,G,17.39%,43.0
Tobias Harris,PF,13.04%,6.0
Domantas Sabonis,UTIL,8.70%,51.0
Jimmy Butler,F,8.70%,44.25
Tyler Herro,PG,8.70%,34.5
James Wiseman,C,8.70%,19.75
John Collins,C,8.70%,3.75
Kevin Porter Jr.,PG,4.35%,28.0
Jaden Ivey,G,4.35%,16.0
Jabari Smith Jr.,PF,4.35%,17.0
Killian Hayes,G,4.35%,16.5
Harrison Barnes,SF,4.35%,27.0
Keegan Murray,F,4.35%,6.25
Isaac Okoro,SF,4.35%,8.5
Blake Wesley,PG,4.35%,6.5
Taurean Prince,UTIL,4.35%,10.0
Rodney McGruder,SG,4.35%,6.0
