Player,Roster Position,%Drafted,FPTS
Trae Young,UTIL,72.92%,35.5
Bam Adebayo,UTIL,72.92%,57.75
Tyler Herro,UTIL,58.33%,34.5
Dejounte Murray,UTIL,50.00%,23.75
Jimmy Butler,UTIL,45.83%,44.25
Onyeka Okongwu,UTIL,39.58%,21.0
John Collins,UTIL,35.42%,3.75
Clint Capela,UTIL,33.33%,37.75
De'Andre Hunter,UTIL,22.92%,25.75
Kevin Love,UTIL,20.83%,16.25
Saddiq Bey,UTIL,20.83%,33.75
Gabe Vincent,UTIL,20.83%,16.5
Bogdan Bogdanovic,UTIL,18.75%,18.0
Caleb Martin,UTIL,16.67%,24.25
Victor Oladipo,UTIL,16.67%,12.5
Max Strus,UTIL,8.33%,12.25
Cody Zeller,UTIL,8.33%,15.0
Jalen Johnson,UTIL,8.33%,13.0
Duncan Robinson,UTIL,2.08%,0.0
AJ Griffin,UTIL,2.08%,0.0
