Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,UTIL,91.30%,58.25
Joel Embiid,UTIL,82.61%,56.0
James Harden,UTIL,78.26%,69.25
Tyrese Maxey,UTIL,52.17%,32.25
Jalen McDaniels,UTIL,52.17%,11.0
P.J. Tucker,UTIL,39.13%,8.0
Khris Middleton,UTIL,30.43%,14.25
Grayson Allen,UTIL,30.43%,31.25
Tobias Harris,UTIL,21.74%,6.0
De'Anthony Melton,UTIL,17.39%,9.0
Joe Ingles,UTIL,17.39%,12.25
Brook Lopez,UTIL,13.04%,42.5
Paul Reed,UTIL,13.04%,12.5
Pat Connaughton,UTIL,8.70%,3.5
Shake Milton,UTIL,8.70%,4.75
Bobby Portis,UTIL,4.35%,13.75
Jae Crowder,UTIL,4.35%,4.75
Jevon Carter,UTIL,4.35%,11.25
Georges Niang,UTIL,4.35%,21.75
