Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,T3,82.61%,38.5
Giannis Antetokounmpo,T1,69.57%,58.25
Domantas Sabonis,T2,60.87%,51.0
Jarrett Allen,T5,47.83%,24.75
Jeremy Sochan,T6,39.13%,28.0
Kevin Porter Jr.,T4,34.78%,28.0
Jalen Green,T5,34.78%,19.0
Joel Embiid,T1,30.43%,56.0
Dejounte Murray,T4,26.09%,23.75
Mike Conley,T6,26.09%,34.25
Trae Young,T2,17.39%,35.5
Evan Mobley,T4,17.39%,48.75
Alperen Sengun,T4,17.39%,36.5
Zach Collins,T5,17.39%,39.0
Anthony Edwards,T2,13.04%,43.0
Clint Capela,T6,13.04%,37.75
Donovan Mitchell,T2,8.70%,36.25
Darius Garland,T3,8.70%,40.75
Jaden Ivey,T6,8.70%,16.0
Jabari Smith Jr.,T6,8.70%,17.0
Jimmy Butler,T3,4.35%,44.25
Bam Adebayo,T3,4.35%,57.75
Tyler Herro,T4,4.35%,34.5
Kyle Anderson,T6,4.35%,47.25
