Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,77.14%,28.0
Devonte' Graham,PG,65.71%,39.0
Tari Eason,SF,62.86%,38.25
Joel Embiid,C,51.43%,56.0
Jalen Green,PG,51.43%,19.0
Marvin Bagley III,PF,45.71%,48.25
Tre Jones,PG,42.86%,19.75
Hamidou Diallo,SG,34.29%,26.75
Anthony Edwards,SG,31.43%,43.0
James Harden,PG,28.57%,69.25
James Wiseman,C,22.86%,19.75
Jarrett Allen,C,20.00%,24.75
Tyrese Maxey,PG,20.00%,32.25
De'Aaron Fox,PG,17.14%,38.5
Harrison Barnes,SF,17.14%,27.0
Domantas Sabonis,C,14.29%,51.0
Bam Adebayo,C,14.29%,57.75
Evan Mobley,PF,14.29%,48.75
Zach Collins,C,14.29%,39.0
Keegan Murray,SF,14.29%,6.25
Jaden Ivey,PG,11.43%,16.0
Romeo Langford,SG,11.43%,7.25
Giannis Antetokounmpo,PF,8.57%,58.25
Dejounte Murray,PG,8.57%,23.75
Kyle Anderson,SF,8.57%,47.25
Keita Bates-Diop,SF,8.57%,30.25
Jimmy Butler,SF,5.71%,44.25
Darius Garland,G,5.71%,40.75
Killian Hayes,PG,5.71%,16.5
Caris LeVert,SG,5.71%,20.5
Donovan Mitchell,SG,2.86%,36.25
Rudy Gobert,UTIL,2.86%,35.5
Tyler Herro,PG,2.86%,34.5
Khris Middleton,F,2.86%,14.25
Mike Conley,PG,2.86%,34.25
KJ Martin,F,2.86%,34.75
Jabari Smith Jr.,F,2.86%,17.0
Tobias Harris,SF,2.86%,6.0
Kevin Love,C,2.86%,16.25
Kevin Huerter,UTIL,2.86%,39.0
Bogdan Bogdanovic,G,2.86%,18.0
De'Andre Hunter,PF,2.86%,25.75
Caleb Martin,PF,2.86%,24.25
Gabe Vincent,G,2.86%,16.5
De'Anthony Melton,G,2.86%,9.0
Trey Lyles,PF,2.86%,30.0
Cory Joseph,PG,2.86%,17.0
Rodney McGruder,G,2.86%,6.0
Jalen McDaniels,F,2.86%,11.0
Dean Wade,F,2.86%,8.25
Shake Milton,SG,2.86%,4.75
