Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,73.68%,58.25
De'Aaron Fox,T3,63.16%,38.5
Domantas Sabonis,T2,57.89%,51.0
Jeremy Sochan,T6,47.37%,28.0
Evan Mobley,T4,36.84%,48.75
Jarrett Allen,T5,36.84%,24.75
Jalen Green,T5,26.32%,19.0
Bam Adebayo,T3,21.05%,57.75
Dejounte Murray,T4,21.05%,23.75
Alperen Sengun,T4,21.05%,36.5
Zach Collins,T5,21.05%,39.0
Joel Embiid,T1,15.79%,56.0
Trae Young,T2,15.79%,35.5
Donovan Mitchell,T2,15.79%,36.25
Kyle Anderson,T6,15.79%,47.25
Jabari Smith Jr.,T6,15.79%,17.0
James Harden,T1,10.53%,69.25
Anthony Edwards,T2,10.53%,43.0
Jimmy Butler,T3,10.53%,44.25
Kevin Porter Jr.,T4,10.53%,28.0
Tyler Herro,T4,10.53%,34.5
Clint Capela,T6,10.53%,37.75
Darius Garland,T3,5.26%,40.75
Bobby Portis,T5,5.26%,13.75
Brook Lopez,T5,5.26%,42.5
Khris Middleton,T5,5.26%,14.25
Devin Vassell,T6,5.26%,0.0
KJ Martin,T6,5.26%,34.75
