Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,100.00%,39.0
Jalen Green,PG,90.91%,19.0
Jeremy Sochan,PF,90.91%,28.0
Tari Eason,SF,90.91%,38.25
Joel Embiid,C,81.82%,56.0
Marvin Bagley III,PF,81.82%,48.25
Tre Jones,PG,63.64%,19.75
Bam Adebayo,C,45.45%,57.75
Tyrese Maxey,G,27.27%,32.25
Anthony Edwards,G,18.18%,43.0
Evan Mobley,C,18.18%,48.75
Giannis Antetokounmpo,UTIL,9.09%,58.25
James Harden,PG,9.09%,69.25
Alperen Sengun,C,9.09%,36.5
Jarrett Allen,C,9.09%,24.75
Zach Collins,C,9.09%,39.0
Kyle Anderson,F,9.09%,47.25
Harrison Barnes,SF,9.09%,27.0
Keegan Murray,UTIL,9.09%,6.25
Hamidou Diallo,SF,9.09%,26.75
John Collins,UTIL,9.09%,3.75
