Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Harrison Barnes,SF,100.00%,27.0
James Harden,G,66.67%,69.25
Jalen Green,PG,66.67%,19.0
Devonte' Graham,SG,66.67%,39.0
Trae Young,PG,33.33%,35.5
Donovan Mitchell,PG,33.33%,36.25
De'Aaron Fox,G,33.33%,38.5
Tyler Herro,G,33.33%,34.5
Jarrett Allen,C,33.33%,24.75
Zach Collins,C,33.33%,39.0
Kyle Anderson,SF,33.33%,47.25
Tyrese Maxey,SG,33.33%,32.25
Marvin Bagley III,PF,33.33%,48.25
James Wiseman,C,33.33%,19.75
Keegan Murray,SF,33.33%,6.25
Naz Reid,F,33.33%,17.5
