Player,Roster Position,%Drafted,FPTS
Joel Embiid,C,100.00%,56.0
James Harden,PG,88.89%,69.25
Tyrese Maxey,PG,88.89%,32.25
Keegan Murray,SF,88.89%,6.25
Harrison Barnes,SF,77.78%,27.0
Kyle Anderson,SF,77.78%,47.25
Jaden McDaniels,SF,77.78%,31.5
De'Anthony Melton,SG,66.67%,9.0
Mike Conley,G,11.11%,34.25
Tobias Harris,SF,11.11%,6.0
Pat Connaughton,G,11.11%,3.5
Georges Niang,F,11.11%,21.75
Taurean Prince,F,11.11%,10.0
Rudy Gobert,UTIL,11.11%,35.5
Bobby Portis,PF,11.11%,13.75
Grayson Allen,SG,11.11%,31.25
PJ Dozier,SF,11.11%,1.25
Kevin Huerter,G,11.11%,39.0
De'Aaron Fox,PG,11.11%,38.5
Naz Reid,UTIL,11.11%,17.5
