Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,UTIL,83.33%,58.25
James Harden,UTIL,83.33%,69.25
Joel Embiid,UTIL,75.00%,56.0
Tyrese Maxey,UTIL,58.33%,32.25
P.J. Tucker,UTIL,58.33%,8.0
De'Anthony Melton,UTIL,50.00%,9.0
Khris Middleton,UTIL,33.33%,14.25
Tobias Harris,UTIL,33.33%,6.0
Jalen McDaniels,UTIL,33.33%,11.0
Jrue Holiday,UTIL,25.00%,54.0
Brook Lopez,UTIL,16.67%,42.5
Pat Connaughton,UTIL,16.67%,3.5
Grayson Allen,UTIL,8.33%,31.25
Jae Crowder,UTIL,8.33%,4.75
Joe Ingles,UTIL,8.33%,12.25
Georges Niang,UTIL,8.33%,21.75
