Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,81.82%,39.0
Jeremy Sochan,PF,72.73%,28.0
Marvin Bagley III,PF,59.09%,48.25
Tari Eason,SF,54.55%,38.25
Joel Embiid,C,36.36%,56.0
De'Aaron Fox,PG,36.36%,38.5
Jalen Green,SG,31.82%,19.0
Hamidou Diallo,SG,31.82%,26.75
Rudy Gobert,C,27.27%,35.5
Tyrese Maxey,PG,27.27%,32.25
Tre Jones,PG,27.27%,19.75
Anthony Edwards,SG,22.73%,43.0
James Harden,G,18.18%,69.25
Zach Collins,C,18.18%,39.0
Domantas Sabonis,C,13.64%,51.0
Donovan Mitchell,PG,13.64%,36.25
Jimmy Butler,SF,13.64%,44.25
Evan Mobley,PF,13.64%,48.75
Alperen Sengun,C,13.64%,36.5
Killian Hayes,PG,13.64%,16.5
James Wiseman,C,13.64%,19.75
Harrison Barnes,SF,13.64%,27.0
Keegan Murray,SF,13.64%,6.25
Caris LeVert,SG,13.64%,20.5
Giannis Antetokounmpo,F,9.09%,58.25
Bam Adebayo,C,9.09%,57.75
Tyler Herro,G,9.09%,34.5
Jaden Ivey,PG,9.09%,16.0
Kyle Anderson,SF,9.09%,47.25
Charles Bassey,C,9.09%,28.5
Blake Wesley,SG,9.09%,6.5
Trae Young,UTIL,4.55%,35.5
Mike Conley,G,4.55%,34.25
Jabari Smith Jr.,F,4.55%,17.0
Tobias Harris,F,4.55%,6.0
Keita Bates-Diop,PF,4.55%,30.25
Kevin Huerter,G,4.55%,39.0
Bogdan Bogdanovic,SG,4.55%,18.0
De'Andre Hunter,PF,4.55%,25.75
Naz Reid,F,4.55%,17.5
Gabe Vincent,G,4.55%,16.5
Onyeka Okongwu,UTIL,4.55%,21.0
Isaac Okoro,F,4.55%,8.5
