Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,94.12%,28.0
Devonte' Graham,PG,88.24%,39.0
Joel Embiid,C,82.35%,56.0
Jalen Green,PG,76.47%,19.0
Tari Eason,SF,70.59%,38.25
Marvin Bagley III,PF,64.71%,48.25
Tre Jones,PG,64.71%,19.75
Bam Adebayo,C,35.29%,57.75
Tyrese Maxey,G,23.53%,32.25
Hamidou Diallo,SG,23.53%,26.75
James Harden,PG,17.65%,69.25
Alperen Sengun,C,17.65%,36.5
Tyler Herro,SG,11.76%,34.5
Zach Collins,C,11.76%,39.0
KJ Martin,SF,11.76%,34.75
Keegan Murray,SF,11.76%,6.25
Giannis Antetokounmpo,UTIL,5.88%,58.25
Anthony Edwards,G,5.88%,43.0
De'Aaron Fox,PG,5.88%,38.5
Evan Mobley,C,5.88%,48.75
Kevin Porter Jr.,G,5.88%,28.0
Jarrett Allen,C,5.88%,24.75
Brook Lopez,C,5.88%,42.5
Mike Conley,PG,5.88%,34.25
Kyle Anderson,F,5.88%,47.25
Jabari Smith Jr.,F,5.88%,17.0
Tobias Harris,SF,5.88%,6.0
Keita Bates-Diop,F,5.88%,30.25
James Wiseman,C,5.88%,19.75
Harrison Barnes,SF,5.88%,27.0
John Collins,UTIL,5.88%,3.75
Caris LeVert,SG,5.88%,20.5
