Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,T2,54.84%,51.0
Giannis Antetokounmpo,T1,45.16%,58.25
Joel Embiid,T1,45.16%,56.0
De'Aaron Fox,T3,41.94%,38.5
Jarrett Allen,T5,35.48%,24.75
Jalen Green,T5,32.26%,19.0
Dejounte Murray,T4,29.03%,23.75
Clint Capela,T6,29.03%,37.75
Kevin Porter Jr.,T4,25.81%,28.0
Jaden Ivey,T6,22.58%,16.0
Jeremy Sochan,T6,22.58%,28.0
Anthony Edwards,T2,19.35%,43.0
Darius Garland,T3,19.35%,40.75
Bam Adebayo,T3,19.35%,57.75
Evan Mobley,T4,19.35%,48.75
Donovan Mitchell,T2,16.13%,36.25
Tyler Herro,T4,16.13%,34.5
Zach Collins,T5,16.13%,39.0
Jimmy Butler,T3,12.90%,44.25
Mike Conley,T6,12.90%,34.25
James Harden,T1,9.68%,69.25
Trae Young,T2,9.68%,35.5
Alperen Sengun,T4,9.68%,36.5
Bobby Portis,T5,9.68%,13.75
Khris Middleton,T5,6.45%,14.25
Kyle Anderson,T6,6.45%,47.25
Jrue Holiday,T3,3.23%,54.0
Rudy Gobert,T3,3.23%,35.5
KJ Martin,T6,3.23%,34.75
Jabari Smith Jr.,T6,3.23%,17.0
