Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,83.87%,28.0
Jalen Green,PG,80.65%,19.0
Zach Collins,C,54.84%,39.0
Jabari Smith Jr.,PF,54.84%,17.0
Devonte' Graham,PG,48.39%,39.0
Trae Young,PG,48.39%,35.5
Tari Eason,SF,48.39%,38.25
Bam Adebayo,C,45.16%,57.75
Tyler Herro,SG,41.94%,34.5
Jimmy Butler,SF,38.71%,44.25
Tre Jones,PG,38.71%,19.75
KJ Martin,SF,38.71%,34.75
Keita Bates-Diop,SF,32.26%,30.25
Kevin Porter Jr.,PG,29.03%,28.0
Dejounte Murray,PG,19.35%,23.75
Alperen Sengun,C,19.35%,36.5
Clint Capela,C,16.13%,37.75
Bogdan Bogdanovic,SF,9.68%,18.0
Kevin Love,C,6.45%,16.25
John Collins,C,6.45%,3.75
Max Strus,SF,6.45%,12.25
De'Andre Hunter,SF,6.45%,25.75
Charles Bassey,UTIL,6.45%,28.5
Victor Oladipo,SG,3.23%,12.5
Onyeka Okongwu,UTIL,3.23%,21.0
Josh Christopher,SG,3.23%,24.25
Blake Wesley,PG,3.23%,6.5
Malaki Branham,G,3.23%,0.0
TyTy Washington Jr.,UTIL,3.23%,0.0
