Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,T3,78.26%,38.5
Domantas Sabonis,T2,73.91%,51.0
Giannis Antetokounmpo,T1,69.57%,58.25
Jalen Green,T5,39.13%,19.0
Dejounte Murray,T4,34.78%,23.75
Jarrett Allen,T5,34.78%,24.75
Jeremy Sochan,T6,34.78%,28.0
Joel Embiid,T1,26.09%,56.0
Kevin Porter Jr.,T4,26.09%,28.0
Jaden Ivey,T6,21.74%,16.0
Alperen Sengun,T4,17.39%,36.5
Clint Capela,T6,17.39%,37.75
Trae Young,T2,13.04%,35.5
Bam Adebayo,T3,13.04%,57.75
Evan Mobley,T4,13.04%,48.75
Zach Collins,T5,13.04%,39.0
Mike Conley,T6,13.04%,34.25
Donovan Mitchell,T2,8.70%,36.25
Tyler Herro,T4,8.70%,34.5
Bobby Portis,T5,8.70%,13.75
Jabari Smith Jr.,T6,8.70%,17.0
James Harden,T1,4.35%,69.25
Anthony Edwards,T2,4.35%,43.0
Jimmy Butler,T3,4.35%,44.25
Jrue Holiday,T3,4.35%,54.0
Brook Lopez,T5,4.35%,42.5
KJ Martin,T6,4.35%,34.75
