Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,100.00%,28.0
Jalen Green,PG,90.00%,19.0
Devonte' Graham,SG,80.00%,39.0
Tari Eason,SF,80.00%,38.25
Jimmy Butler,SF,70.00%,44.25
Bam Adebayo,C,70.00%,57.75
Tre Jones,PG,60.00%,19.75
Alperen Sengun,C,60.00%,36.5
Trae Young,PG,50.00%,35.5
Zach Collins,UTIL,40.00%,39.0
Jabari Smith Jr.,PF,20.00%,17.0
Kevin Love,PF,10.00%,16.25
Clint Capela,C,10.00%,37.75
Caleb Martin,SF,10.00%,24.25
De'Andre Hunter,UTIL,10.00%,25.75
Tyler Herro,G,10.00%,34.5
Charles Bassey,C,10.00%,28.5
KJ Martin,F,10.00%,34.75
Blake Wesley,SG,10.00%,6.5
