Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,82.61%,28.0
Devonte' Graham,PG,78.26%,39.0
Jalen Green,PG,78.26%,19.0
Trae Young,PG,65.22%,35.5
Tari Eason,SF,60.87%,38.25
Zach Collins,C,52.17%,39.0
Jimmy Butler,SF,47.83%,44.25
Bam Adebayo,C,47.83%,57.75
Tre Jones,PG,34.78%,19.75
Keita Bates-Diop,SF,30.43%,30.25
Dejounte Murray,PG,30.43%,23.75
Tyler Herro,PG,30.43%,34.5
Alperen Sengun,C,30.43%,36.5
KJ Martin,SF,26.09%,34.75
Jabari Smith Jr.,PF,26.09%,17.0
De'Andre Hunter,PF,17.39%,25.75
Clint Capela,C,13.04%,37.75
Bogdan Bogdanovic,SG,8.70%,18.0
Blake Wesley,G,8.70%,6.5
Kevin Love,C,4.35%,16.25
Boban Marjanovic,UTIL,4.35%,12.75
Caleb Martin,PF,4.35%,24.25
John Collins,F,4.35%,3.75
Kevin Porter Jr.,G,4.35%,28.0
Charles Bassey,C,4.35%,28.5
Josh Christopher,UTIL,4.35%,24.25
