Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,88.89%,28.0
Devonte' Graham,PG,83.33%,39.0
Jalen Green,PG,77.78%,19.0
Jimmy Butler,SF,61.11%,44.25
Bam Adebayo,C,55.56%,57.75
Tari Eason,SF,55.56%,38.25
Dejounte Murray,PG,44.44%,23.75
Zach Collins,C,44.44%,39.0
Tre Jones,PG,38.89%,19.75
Alperen Sengun,C,38.89%,36.5
Tyler Herro,SG,33.33%,34.5
KJ Martin,PF,33.33%,34.75
Trae Young,PG,27.78%,35.5
Jabari Smith Jr.,PF,27.78%,17.0
Keita Bates-Diop,SF,16.67%,30.25
Kevin Love,PF,11.11%,16.25
Clint Capela,C,11.11%,37.75
Bogdan Bogdanovic,SG,11.11%,18.0
De'Andre Hunter,SF,11.11%,25.75
John Collins,C,5.56%,3.75
Max Strus,SG,5.56%,12.25
Kevin Porter Jr.,PG,5.56%,28.0
Onyeka Okongwu,UTIL,5.56%,21.0
Blake Wesley,UTIL,5.56%,6.5
