Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,81.82%,51.0
Keegan Murray,UTIL,81.82%,6.25
Anthony Edwards,UTIL,68.18%,43.0
De'Aaron Fox,UTIL,63.64%,38.5
Harrison Barnes,UTIL,59.09%,27.0
Taurean Prince,UTIL,59.09%,10.0
Rudy Gobert,UTIL,45.45%,35.5
Jaden McDaniels,UTIL,31.82%,31.5
Kyle Anderson,UTIL,27.27%,47.25
Jordan McLaughlin,UTIL,22.73%,8.25
Naz Reid,UTIL,13.64%,17.5
Nickeil Alexander-Walker,UTIL,13.64%,33.25
Mike Conley,UTIL,9.09%,34.25
Malik Monk,UTIL,9.09%,16.75
Kevin Huerter,UTIL,4.55%,39.0
Trey Lyles,UTIL,4.55%,30.0
Austin Rivers,UTIL,4.55%,0.0
