Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,100.00%,39.0
Jalen Green,PG,66.67%,19.0
Kyle Anderson,PF,66.67%,47.25
Giannis Antetokounmpo,PF,33.33%,58.25
Joel Embiid,UTIL,33.33%,56.0
Domantas Sabonis,UTIL,33.33%,51.0
Anthony Edwards,F,33.33%,43.0
Bam Adebayo,C,33.33%,57.75
Alperen Sengun,C,33.33%,36.5
Jaden Ivey,G,33.33%,16.0
Jeremy Sochan,F,33.33%,28.0
Marvin Bagley III,PF,33.33%,48.25
Keita Bates-Diop,SF,33.33%,30.25
Tre Jones,PG,33.33%,19.75
James Wiseman,C,33.33%,19.75
Harrison Barnes,SF,33.33%,27.0
De'Andre Hunter,F,33.33%,25.75
Grayson Allen,SG,33.33%,31.25
Hamidou Diallo,SG,33.33%,26.75
Tari Eason,SF,33.33%,38.25
