Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,80.00%,28.0
Devonte' Graham,PG,70.00%,39.0
Tari Eason,SF,70.00%,38.25
Hamidou Diallo,SG,50.00%,26.75
Anthony Edwards,SF,40.00%,43.0
Evan Mobley,PF,40.00%,48.75
Jalen Green,PG,40.00%,19.0
Tyrese Maxey,PG,40.00%,32.25
Joel Embiid,C,30.00%,56.0
Tre Jones,PG,30.00%,19.75
Domantas Sabonis,C,20.00%,51.0
Donovan Mitchell,SG,20.00%,36.25
Alperen Sengun,C,20.00%,36.5
Jarrett Allen,C,20.00%,24.75
Zach Collins,C,20.00%,39.0
Killian Hayes,G,20.00%,16.5
Tobias Harris,SF,20.00%,6.0
Naz Reid,PF,20.00%,17.5
Blake Wesley,PG,20.00%,6.5
Giannis Antetokounmpo,UTIL,10.00%,58.25
De'Aaron Fox,PG,10.00%,38.5
Jimmy Butler,F,10.00%,44.25
Bam Adebayo,C,10.00%,57.75
Kevin Porter Jr.,G,10.00%,28.0
Rudy Gobert,C,10.00%,35.5
Tyler Herro,UTIL,10.00%,34.5
Mike Conley,PG,10.00%,34.25
Marvin Bagley III,PF,10.00%,48.25
Harrison Barnes,SF,10.00%,27.0
Bogdan Bogdanovic,SG,10.00%,18.0
Keegan Murray,PF,10.00%,6.25
De'Anthony Melton,UTIL,10.00%,9.0
