Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,89.47%,28.0
Devonte' Graham,PG,78.95%,39.0
Tari Eason,SF,78.95%,38.25
Joel Embiid,C,73.68%,56.0
Jalen Green,PG,73.68%,19.0
Marvin Bagley III,PF,57.89%,48.25
Tyrese Maxey,G,47.37%,32.25
Tre Jones,PG,31.58%,19.75
Bam Adebayo,C,26.32%,57.75
Evan Mobley,PF,21.05%,48.75
Hamidou Diallo,SG,21.05%,26.75
De'Aaron Fox,PG,15.79%,38.5
Kyle Anderson,F,15.79%,47.25
Keegan Murray,SF,15.79%,6.25
James Harden,PG,10.53%,69.25
Trae Young,PG,10.53%,35.5
Anthony Edwards,F,10.53%,43.0
Donovan Mitchell,SG,10.53%,36.25
Dejounte Murray,PG,10.53%,23.75
Tyler Herro,PG,10.53%,34.5
Jarrett Allen,C,10.53%,24.75
Zach Collins,C,10.53%,39.0
Harrison Barnes,SF,10.53%,27.0
Trey Lyles,C,10.53%,30.0
Jrue Holiday,UTIL,5.26%,54.0
Alperen Sengun,C,5.26%,36.5
Bobby Portis,F,5.26%,13.75
KJ Martin,SF,5.26%,34.75
Jaden Ivey,PG,5.26%,16.0
James Wiseman,C,5.26%,19.75
Joe Ingles,SG,5.26%,12.25
Blake Wesley,G,5.26%,6.5
R.J. Hampton,SG,5.26%,13.75
