Player,Roster Position,%Drafted,FPTS
Bam Adebayo,C,100.00%,57.75
Jeremy Sochan,PF,100.00%,28.0
Devonte' Graham,SG,80.00%,39.0
Tari Eason,SF,80.00%,38.25
Jalen Green,SG,80.00%,19.0
Dejounte Murray,PG,60.00%,23.75
Zach Collins,C,60.00%,39.0
Trae Young,PG,40.00%,35.5
Jimmy Butler,F,20.00%,44.25
Clint Capela,UTIL,20.00%,37.75
Bogdan Bogdanovic,F,20.00%,18.0
Keita Bates-Diop,SF,20.00%,30.25
Tre Jones,PG,20.00%,19.75
Tyler Herro,SG,20.00%,34.5
Saddiq Bey,PF,20.00%,33.75
KJ Martin,F,20.00%,34.75
Alperen Sengun,C,20.00%,36.5
Jabari Smith Jr.,PF,20.00%,17.0
