Player,Roster Position,%Drafted,FPTS
Donovan Mitchell,UTIL,93.10%,36.25
Darius Garland,UTIL,89.66%,40.75
Evan Mobley,UTIL,65.52%,48.75
Hamidou Diallo,UTIL,58.62%,26.75
Jarrett Allen,UTIL,48.28%,24.75
Caris LeVert,UTIL,41.38%,20.5
Killian Hayes,UTIL,37.93%,16.5
James Wiseman,UTIL,31.03%,19.75
Marvin Bagley III,UTIL,27.59%,48.25
Jaden Ivey,UTIL,24.14%,16.0
Cory Joseph,UTIL,20.69%,17.0
Isaiah Livers,UTIL,13.79%,17.5
Dean Wade,UTIL,10.34%,8.25
R.J. Hampton,UTIL,10.34%,13.75
Isaac Okoro,UTIL,3.45%,8.5
Ricky Rubio,UTIL,3.45%,24.25
