Player,Roster Position,%Drafted,FPTS
Donovan Mitchell,UTIL,95.65%,36.25
Darius Garland,UTIL,69.57%,40.75
Jarrett Allen,UTIL,69.57%,24.75
Hamidou Diallo,UTIL,65.22%,26.75
Evan Mobley,UTIL,60.87%,48.75
Marvin Bagley III,UTIL,47.83%,48.25
James Wiseman,UTIL,43.48%,19.75
Jaden Ivey,UTIL,39.13%,16.0
Killian Hayes,UTIL,30.43%,16.5
Caris LeVert,UTIL,26.09%,20.5
Cory Joseph,UTIL,13.04%,17.0
R.J. Hampton,UTIL,13.04%,13.75
Rodney McGruder,UTIL,8.70%,6.0
Dean Wade,UTIL,8.70%,8.25
Ricky Rubio,UTIL,4.35%,24.25
Isaiah Livers,UTIL,4.35%,17.5
