Player,Roster Position,%Drafted,FPTS
Joel Embiid,C,66.67%,56.0
De'Anthony Melton,UTIL,66.67%,9.0
De'Aaron Fox,PG,66.67%,38.5
Naz Reid,PF,66.67%,17.5
Jaden McDaniels,SF,66.67%,31.5
P.J. Tucker,F,33.33%,8.0
Mike Conley,PG,33.33%,34.25
Jrue Holiday,PG,33.33%,54.0
Tobias Harris,PF,33.33%,6.0
Joe Ingles,G,33.33%,12.25
Taurean Prince,F,33.33%,10.0
Kyle Anderson,SF,33.33%,47.25
Rudy Gobert,UTIL,33.33%,35.5
Grayson Allen,SG,33.33%,31.25
Domantas Sabonis,C,33.33%,51.0
Kevin Huerter,SG,33.33%,39.0
Malik Monk,G,33.33%,16.75
Anthony Edwards,SF,33.33%,43.0
Tyrese Maxey,SG,33.33%,32.25
