Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,80.00%,58.25
Jeremy Sochan,T6,60.00%,28.0
Domantas Sabonis,T2,40.00%,51.0
Bam Adebayo,T3,40.00%,57.75
Evan Mobley,T4,40.00%,48.75
Jarrett Allen,T5,40.00%,24.75
Jalen Green,T5,40.00%,19.0
Joel Embiid,T1,20.00%,56.0
Trae Young,T2,20.00%,35.5
Anthony Edwards,T2,20.00%,43.0
Donovan Mitchell,T2,20.00%,36.25
De'Aaron Fox,T3,20.00%,38.5
Jimmy Butler,T3,20.00%,44.25
Jrue Holiday,T3,20.00%,54.0
Dejounte Murray,T4,20.00%,23.75
Kevin Porter Jr.,T4,20.00%,28.0
Tyler Herro,T4,20.00%,34.5
Brook Lopez,T5,20.00%,42.5
Mike Conley,T6,20.00%,34.25
Jaden Ivey,T6,20.00%,16.0
