Player,Roster Position,%Drafted,FPTS
De'Anthony Melton,SG,80.00%,9.0
Harrison Barnes,SF,60.00%,27.0
Kyle Anderson,SF,60.00%,47.25
Domantas Sabonis,C,60.00%,51.0
Tyrese Maxey,PG,60.00%,32.25
Brook Lopez,C,40.00%,42.5
James Harden,PG,40.00%,69.25
Giannis Antetokounmpo,PF,40.00%,58.25
Trey Lyles,F,40.00%,30.0
Naz Reid,PF,40.00%,17.5
Jaden McDaniels,SF,40.00%,31.5
Keegan Murray,F,40.00%,6.25
Mike Conley,PG,20.00%,34.25
Jrue Holiday,PG,20.00%,54.0
Tobias Harris,PF,20.00%,6.0
Joe Ingles,G,20.00%,12.25
Rudy Gobert,UTIL,20.00%,35.5
Joel Embiid,C,20.00%,56.0
Grayson Allen,SG,20.00%,31.25
De'Aaron Fox,G,20.00%,38.5
Malik Monk,G,20.00%,16.75
Nickeil Alexander-Walker,G,20.00%,33.25
