Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,91.30%,51.0
Keegan Murray,UTIL,78.26%,6.25
Anthony Edwards,UTIL,69.57%,43.0
Taurean Prince,UTIL,69.57%,10.0
De'Aaron Fox,UTIL,60.87%,38.5
Kyle Anderson,UTIL,56.52%,47.25
Harrison Barnes,UTIL,52.17%,27.0
Trey Lyles,UTIL,26.09%,30.0
Rudy Gobert,UTIL,21.74%,35.5
Naz Reid,UTIL,17.39%,17.5
Jordan McLaughlin,UTIL,17.39%,8.25
Mike Conley,UTIL,8.70%,34.25
Jaden McDaniels,UTIL,8.70%,31.5
Nickeil Alexander-Walker,UTIL,8.70%,33.25
Kevin Huerter,UTIL,4.35%,39.0
Chimezie Metu,UTIL,4.35%,8.5
Malik Monk,CPT,4.35%,25.12
