Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,UTIL,100.00%,58.25
James Harden,UTIL,81.25%,69.25
Joel Embiid,UTIL,75.00%,56.0
Tyrese Maxey,UTIL,75.00%,32.25
P.J. Tucker,UTIL,56.25%,8.0
De'Anthony Melton,UTIL,43.75%,9.0
Jalen McDaniels,UTIL,37.50%,11.0
Tobias Harris,UTIL,31.25%,6.0
Grayson Allen,UTIL,25.00%,31.25
Jrue Holiday,UTIL,12.50%,54.0
Brook Lopez,UTIL,12.50%,42.5
Khris Middleton,UTIL,12.50%,14.25
Pat Connaughton,UTIL,12.50%,3.5
Montrezl Harrell,UTIL,6.25%,0.0
Jevon Carter,UTIL,6.25%,11.25
Joe Ingles,UTIL,6.25%,12.25
Shake Milton,UTIL,6.25%,4.75
