Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,83.33%,39.0
Jeremy Sochan,PF,78.57%,28.0
Tari Eason,SF,71.43%,38.25
Marvin Bagley III,PF,50.00%,48.25
Joel Embiid,C,45.24%,56.0
Jalen Green,PG,45.24%,19.0
Tre Jones,PG,33.33%,19.75
Hamidou Diallo,SG,28.57%,26.75
De'Aaron Fox,PG,26.19%,38.5
Zach Collins,C,26.19%,39.0
Anthony Edwards,SG,23.81%,43.0
Tyrese Maxey,PG,23.81%,32.25
Bam Adebayo,C,21.43%,57.75
James Wiseman,C,21.43%,19.75
Evan Mobley,PF,16.67%,48.75
Keegan Murray,F,16.67%,6.25
James Harden,G,14.29%,69.25
Domantas Sabonis,C,11.90%,51.0
Rudy Gobert,C,11.90%,35.5
Killian Hayes,PG,11.90%,16.5
Giannis Antetokounmpo,C,9.52%,58.25
Dejounte Murray,SG,9.52%,23.75
Tyler Herro,SG,9.52%,34.5
Harrison Barnes,SF,9.52%,27.0
Jimmy Butler,F,7.14%,44.25
Alperen Sengun,C,7.14%,36.5
Jarrett Allen,C,7.14%,24.75
Jaden Ivey,PG,7.14%,16.0
Kyle Anderson,SF,7.14%,47.25
Donovan Mitchell,PG,4.76%,36.25
Jabari Smith Jr.,F,4.76%,17.0
Keita Bates-Diop,SF,4.76%,30.25
Naz Reid,F,4.76%,17.5
Caris LeVert,SG,4.76%,20.5
Blake Wesley,PG,4.76%,6.5
Rodney McGruder,SF,4.76%,6.0
Trae Young,G,2.38%,35.5
Darius Garland,UTIL,2.38%,40.75
Brook Lopez,UTIL,2.38%,42.5
Khris Middleton,SF,2.38%,14.25
Clint Capela,UTIL,2.38%,37.75
Mike Conley,G,2.38%,34.25
Tobias Harris,PF,2.38%,6.0
Kevin Huerter,SF,2.38%,39.0
Jaden McDaniels,PF,2.38%,31.5
De'Andre Hunter,PF,2.38%,25.75
De'Anthony Melton,G,2.38%,9.0
Taurean Prince,SF,2.38%,10.0
Romeo Langford,SG,2.38%,7.25
