Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,90.00%,28.0
Devonte' Graham,PG,80.00%,39.0
Tari Eason,SF,80.00%,38.25
Jalen Green,SG,60.00%,19.0
De'Aaron Fox,PG,50.00%,38.5
Joel Embiid,C,40.00%,56.0
Keegan Murray,SF,40.00%,6.25
Hamidou Diallo,SF,40.00%,26.75
Zach Collins,C,30.00%,39.0
Tyrese Maxey,PG,30.00%,32.25
Harrison Barnes,SF,30.00%,27.0
Anthony Edwards,SG,20.00%,43.0
Darius Garland,G,20.00%,40.75
Tyler Herro,SG,20.00%,34.5
Jarrett Allen,C,20.00%,24.75
Marvin Bagley III,F,20.00%,48.25
Giannis Antetokounmpo,C,10.00%,58.25
Domantas Sabonis,UTIL,10.00%,51.0
Trae Young,PG,10.00%,35.5
Jrue Holiday,G,10.00%,54.0
Dejounte Murray,G,10.00%,23.75
Evan Mobley,C,10.00%,48.75
Rudy Gobert,UTIL,10.00%,35.5
KJ Martin,SF,10.00%,34.75
Malik Monk,UTIL,10.00%,16.75
Naz Reid,F,10.00%,17.5
Onyeka Okongwu,C,10.00%,21.0
De'Anthony Melton,SG,10.00%,9.0
Charles Bassey,UTIL,10.00%,28.5
