Player,Roster Position,%Drafted,FPTS
Bam Adebayo,UTIL,100.00%,57.75
Tyler Herro,UTIL,72.73%,34.5
Trae Young,UTIL,63.64%,35.5
Jimmy Butler,UTIL,63.64%,44.25
Dejounte Murray,UTIL,54.55%,23.75
John Collins,UTIL,45.45%,3.75
Victor Oladipo,UTIL,36.36%,12.5
Clint Capela,UTIL,27.27%,37.75
Caleb Martin,UTIL,27.27%,24.25
Onyeka Okongwu,UTIL,27.27%,21.0
De'Andre Hunter,UTIL,18.18%,25.75
Gabe Vincent,UTIL,18.18%,16.5
Cody Zeller,UTIL,18.18%,15.0
Bogdan Bogdanovic,UTIL,9.09%,18.0
AJ Griffin,UTIL,9.09%,0.0
Jalen Johnson,UTIL,9.09%,13.0
