Player,Roster Position,%Drafted,FPTS
Kristaps Porzingis,UTIL,76.47%,50.75
Fred VanVleet,UTIL,76.47%,59.5
Bradley Beal,UTIL,76.47%,45.0
Jakob Poeltl,UTIL,76.47%,21.25
Pascal Siakam,UTIL,64.71%,36.5
OG Anunoby,UTIL,47.06%,15.75
Delon Wright,UTIL,47.06%,50.5
Kyle Kuzma,UTIL,35.29%,23.5
Deni Avdija,UTIL,17.65%,2.0
Precious Achiuwa,UTIL,17.65%,7.5
Jordan Goodwin,UTIL,17.65%,12.75
Scottie Barnes,UTIL,11.76%,24.25
Daniel Gafford,UTIL,11.76%,17.0
Corey Kispert,UTIL,11.76%,20.0
Gary Trent Jr.,UTIL,5.88%,44.25
Kendrick Nunn,UTIL,5.88%,-0.25
