Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,77.42%,32.25
Harrison Barnes,SF,67.74%,27.0
Joel Embiid,C,58.06%,56.0
Keegan Murray,SF,58.06%,6.25
De'Anthony Melton,SG,48.39%,9.0
Jaden McDaniels,SF,45.16%,31.5
James Harden,PG,38.71%,69.25
Mike Conley,PG,35.48%,34.25
Kyle Anderson,SF,35.48%,47.25
De'Aaron Fox,PG,35.48%,38.5
Naz Reid,PF,32.26%,17.5
Giannis Antetokounmpo,PF,22.58%,58.25
Kevin Huerter,SG,22.58%,39.0
Khris Middleton,SF,19.35%,14.25
Domantas Sabonis,C,19.35%,51.0
Tobias Harris,SF,16.13%,6.0
Malik Monk,SG,16.13%,16.75
Anthony Edwards,SG,16.13%,43.0
Joe Ingles,SG,12.90%,12.25
Taurean Prince,SF,12.90%,10.0
Rudy Gobert,C,9.68%,35.5
Grayson Allen,SG,9.68%,31.25
Trey Lyles,C,9.68%,30.0
Brook Lopez,C,6.45%,42.5
Jrue Holiday,PG,6.45%,54.0
Pat Connaughton,G,6.45%,3.5
Jevon Carter,PG,6.45%,11.25
Terence Davis,G,6.45%,5.25
P.J. Tucker,UTIL,3.23%,8.0
Jae Crowder,SF,3.23%,4.75
Austin Rivers,SG,3.23%,0.0
Georges Niang,PF,3.23%,21.75
Shake Milton,UTIL,3.23%,4.75
Jalen McDaniels,F,3.23%,11.0
Paul Reed,C,3.23%,12.5
