Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,90.91%,28.0
Tari Eason,SF,72.73%,38.25
Devonte' Graham,PG,63.64%,39.0
Jalen Green,PG,54.55%,19.0
Anthony Edwards,G,45.45%,43.0
De'Aaron Fox,PG,45.45%,38.5
Joel Embiid,C,36.36%,56.0
Zach Collins,C,27.27%,39.0
Tyrese Maxey,SG,27.27%,32.25
Marvin Bagley III,PF,27.27%,48.25
Hamidou Diallo,SF,27.27%,26.75
Rudy Gobert,C,18.18%,35.5
Jaden Ivey,PG,18.18%,16.0
Tre Jones,G,18.18%,19.75
Harrison Barnes,SF,18.18%,27.0
Keegan Murray,SF,18.18%,6.25
Trey Lyles,C,18.18%,30.0
Romeo Langford,SG,18.18%,7.25
Giannis Antetokounmpo,PF,9.09%,58.25
Domantas Sabonis,C,9.09%,51.0
James Harden,UTIL,9.09%,69.25
Trae Young,G,9.09%,35.5
Donovan Mitchell,SG,9.09%,36.25
Jimmy Butler,SF,9.09%,44.25
Bam Adebayo,C,9.09%,57.75
Dejounte Murray,G,9.09%,23.75
Tyler Herro,PG,9.09%,34.5
Jarrett Allen,C,9.09%,24.75
Clint Capela,UTIL,9.09%,37.75
Kyle Anderson,SF,9.09%,47.25
Killian Hayes,PG,9.09%,16.5
De'Andre Hunter,PF,9.09%,25.75
De'Anthony Melton,SF,9.09%,9.0
Charles Bassey,C,9.09%,28.5
Caris LeVert,SG,9.09%,20.5
