Player,Roster Position,%Drafted,FPTS
James Harden,PG,100.00%,69.25
Tyrese Maxey,SG,100.00%,32.25
Jae Crowder,SF,66.67%,4.75
Giannis Antetokounmpo,PF,66.67%,58.25
Kevin Huerter,G,66.67%,39.0
P.J. Tucker,PF,33.33%,8.0
Mike Conley,PG,33.33%,34.25
Jrue Holiday,UTIL,33.33%,54.0
Tobias Harris,SF,33.33%,6.0
Austin Rivers,SG,33.33%,0.0
Taurean Prince,F,33.33%,10.0
Bobby Portis,PF,33.33%,13.75
Domantas Sabonis,C,33.33%,51.0
Chimezie Metu,C,33.33%,8.5
Jalen McDaniels,F,33.33%,11.0
Naz Reid,F,33.33%,17.5
Keegan Murray,SF,33.33%,6.25
