Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,77.78%,32.25
Tobias Harris,SF,66.67%,6.0
Joel Embiid,C,66.67%,56.0
Keegan Murray,SF,66.67%,6.25
James Harden,PG,55.56%,69.25
Harrison Barnes,PF,55.56%,27.0
Taurean Prince,SF,44.44%,10.0
Kyle Anderson,SF,44.44%,47.25
Kevin Huerter,SG,44.44%,39.0
De'Anthony Melton,SG,44.44%,9.0
De'Aaron Fox,PG,33.33%,38.5
Anthony Edwards,SG,33.33%,43.0
Trey Lyles,PF,22.22%,30.0
Naz Reid,PF,22.22%,17.5
Jaden McDaniels,SF,22.22%,31.5
P.J. Tucker,F,11.11%,8.0
Mike Conley,PG,11.11%,34.25
Brook Lopez,UTIL,11.11%,42.5
Jrue Holiday,PG,11.11%,54.0
Joe Ingles,G,11.11%,12.25
Giannis Antetokounmpo,PF,11.11%,58.25
Rudy Gobert,C,11.11%,35.5
Domantas Sabonis,C,11.11%,51.0
Chimezie Metu,UTIL,11.11%,8.5
