Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,80.00%,51.0
Kyle Anderson,UTIL,80.00%,47.25
De'Aaron Fox,UTIL,60.00%,38.5
Rudy Gobert,UTIL,60.00%,35.5
Anthony Edwards,UTIL,40.00%,43.0
Malik Monk,UTIL,40.00%,16.75
Harrison Barnes,UTIL,40.00%,27.0
Keegan Murray,UTIL,40.00%,6.25
Jaden McDaniels,UTIL,20.00%,31.5
Naz Reid,UTIL,20.00%,17.5
Terence Davis,UTIL,20.00%,5.25
Trey Lyles,UTIL,20.00%,30.0
Nickeil Alexander-Walker,UTIL,20.00%,33.25
Taurean Prince,UTIL,20.00%,10.0
Austin Rivers,UTIL,20.00%,0.0
Mike Conley,CPT,20.00%,51.38
