Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,78.05%,39.0
Jeremy Sochan,PF,68.29%,28.0
Tari Eason,SF,65.85%,38.25
Jalen Green,PG,46.34%,19.0
Marvin Bagley III,PF,43.90%,48.25
Tre Jones,PG,41.46%,19.75
Hamidou Diallo,SG,41.46%,26.75
Joel Embiid,C,36.59%,56.0
Anthony Edwards,SG,36.59%,43.0
Giannis Antetokounmpo,PF,26.83%,58.25
De'Aaron Fox,G,21.95%,38.5
Tyrese Maxey,PG,21.95%,32.25
Keegan Murray,SF,21.95%,6.25
Tyler Herro,PG,17.07%,34.5
Zach Collins,C,17.07%,39.0
Blake Wesley,PG,14.63%,6.5
James Harden,PG,12.20%,69.25
Bam Adebayo,C,12.20%,57.75
Jarrett Allen,C,12.20%,24.75
Caris LeVert,SG,12.20%,20.5
Dejounte Murray,PG,9.76%,23.75
Evan Mobley,PF,9.76%,48.75
Alperen Sengun,C,9.76%,36.5
Rudy Gobert,UTIL,9.76%,35.5
Kyle Anderson,SF,9.76%,47.25
Domantas Sabonis,C,7.32%,51.0
Donovan Mitchell,SG,7.32%,36.25
Jaden Ivey,PG,7.32%,16.0
Killian Hayes,PG,7.32%,16.5
James Wiseman,C,7.32%,19.75
De'Anthony Melton,SF,7.32%,9.0
Trae Young,PG,4.88%,35.5
Jabari Smith Jr.,F,4.88%,17.0
Harrison Barnes,SF,4.88%,27.0
Naz Reid,F,4.88%,17.5
Romeo Langford,SG,4.88%,7.25
Jimmy Butler,F,2.44%,44.25
Darius Garland,G,2.44%,40.75
Jrue Holiday,UTIL,2.44%,54.0
KJ Martin,UTIL,2.44%,34.75
Tobias Harris,F,2.44%,6.0
Keita Bates-Diop,SF,2.44%,30.25
Kevin Huerter,G,2.44%,39.0
De'Andre Hunter,PF,2.44%,25.75
Saddiq Bey,PF,2.44%,33.75
Charles Bassey,C,2.44%,28.5
Isaiah Livers,SF,2.44%,17.5
Trey Lyles,C,2.44%,30.0
Nickeil Alexander-Walker,G,2.44%,33.25
Cory Joseph,PG,2.44%,17.0
