Player,Roster Position,%Drafted,FPTS
Joel Embiid,UTIL,96.43%,56.0
Giannis Antetokounmpo,UTIL,85.71%,58.25
James Harden,UTIL,78.57%,69.25
Tyrese Maxey,UTIL,46.43%,32.25
Jalen McDaniels,UTIL,42.86%,11.0
P.J. Tucker,UTIL,39.29%,8.0
De'Anthony Melton,UTIL,35.71%,9.0
Brook Lopez,UTIL,28.57%,42.5
Pat Connaughton,UTIL,28.57%,3.5
Grayson Allen,UTIL,17.86%,31.25
Jrue Holiday,UTIL,14.29%,54.0
Tobias Harris,UTIL,14.29%,6.0
Shake Milton,UTIL,14.29%,4.75
Khris Middleton,UTIL,10.71%,14.25
Jevon Carter,UTIL,10.71%,11.25
Bobby Portis,UTIL,7.14%,13.75
Joe Ingles,UTIL,7.14%,12.25
AJ Green,UTIL,7.14%,0.0
Jae Crowder,UTIL,3.57%,4.75
Paul Reed,UTIL,3.57%,12.5
Georges Niang,UTIL,3.57%,21.75
Meyers Leonard,UTIL,3.57%,0.0
