Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,80.65%,28.0
Devonte' Graham,PG,77.42%,39.0
Joel Embiid,C,64.52%,56.0
Tari Eason,SF,64.52%,38.25
Jalen Green,PG,58.06%,19.0
Marvin Bagley III,PF,58.06%,48.25
Tre Jones,PG,32.26%,19.75
Hamidou Diallo,SG,32.26%,26.75
Bam Adebayo,C,25.81%,57.75
Tyrese Maxey,PG,25.81%,32.25
Zach Collins,C,22.58%,39.0
De'Aaron Fox,G,16.13%,38.5
Evan Mobley,PF,16.13%,48.75
Tyler Herro,PG,16.13%,34.5
Jarrett Allen,C,16.13%,24.75
Giannis Antetokounmpo,PF,12.90%,58.25
Kyle Anderson,SF,12.90%,47.25
James Harden,G,9.68%,69.25
Anthony Edwards,SF,9.68%,43.0
Khris Middleton,SF,9.68%,14.25
Jaden Ivey,PG,9.68%,16.0
James Wiseman,C,9.68%,19.75
Harrison Barnes,SF,9.68%,27.0
Trae Young,G,6.45%,35.5
Donovan Mitchell,PG,6.45%,36.25
Darius Garland,PG,6.45%,40.75
Rudy Gobert,C,6.45%,35.5
Jabari Smith Jr.,PF,6.45%,17.0
Grayson Allen,G,6.45%,31.25
Keegan Murray,SF,6.45%,6.25
De'Anthony Melton,SG,6.45%,9.0
Dejounte Murray,PG,3.23%,23.75
Alperen Sengun,C,3.23%,36.5
Mike Conley,G,3.23%,34.25
KJ Martin,SF,3.23%,34.75
Killian Hayes,UTIL,3.23%,16.5
Tobias Harris,SF,3.23%,6.0
Jaden McDaniels,PF,3.23%,31.5
Bogdan Bogdanovic,SG,3.23%,18.0
Saddiq Bey,SF,3.23%,33.75
Naz Reid,F,3.23%,17.5
Gabe Vincent,UTIL,3.23%,16.5
Caris LeVert,UTIL,3.23%,20.5
Joe Ingles,PG,3.23%,12.25
Ricky Rubio,G,3.23%,24.25
Blake Wesley,PG,3.23%,6.5
Romeo Langford,G,3.23%,7.25
Dean Wade,C,3.23%,8.25
Austin Rivers,SG,3.23%,0.0
