Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,95.00%,39.0
Jeremy Sochan,PF,90.00%,28.0
Tari Eason,SF,90.00%,38.25
Jalen Green,PG,65.00%,19.0
Joel Embiid,C,60.00%,56.0
Marvin Bagley III,PF,55.00%,48.25
Tre Jones,PG,55.00%,19.75
Bam Adebayo,C,40.00%,57.75
Hamidou Diallo,SG,30.00%,26.75
Tyrese Maxey,SG,25.00%,32.25
Giannis Antetokounmpo,UTIL,20.00%,58.25
Evan Mobley,PF,20.00%,48.75
James Wiseman,C,20.00%,19.75
Anthony Edwards,SG,15.00%,43.0
De'Aaron Fox,PG,15.00%,38.5
Kyle Anderson,SF,15.00%,47.25
Keegan Murray,SF,15.00%,6.25
Zach Collins,C,10.00%,39.0
Domantas Sabonis,C,5.00%,51.0
James Harden,UTIL,5.00%,69.25
Darius Garland,UTIL,5.00%,40.75
Dejounte Murray,PG,5.00%,23.75
Alperen Sengun,C,5.00%,36.5
Kevin Porter Jr.,G,5.00%,28.0
Rudy Gobert,C,5.00%,35.5
Tyler Herro,SG,5.00%,34.5
Jarrett Allen,C,5.00%,24.75
Khris Middleton,F,5.00%,14.25
Jaden Ivey,G,5.00%,16.0
Harrison Barnes,F,5.00%,27.0
Naz Reid,C,5.00%,17.5
